	tst_days	expert	naive_mean	naive_max	naive_min	actual_values
0	153	1.2406	1.8042	6.4077	1	2.5378
1	154	1.2324	1.8042	6.4077	1	6.2434
2	155	1.2538	1.8042	6.4077	1	1.2793
3	156	1.1991	1.8042	6.4077	1	1.0097
4	157	1.2097	1.8042	6.4077	1	1.0167
5	158	1.1821	1.8042	6.4077	1	1.0126
6	159	1.1945	1.8042	6.4077	1	1.0003
7	160	1.2075	1.8042	6.4077	1	2.1193
8	161	1.1934	1.8042	6.4077	1	1.2676
9	162	1.1938	1.8042	6.4077	1	1.9213
10	163	1.1975	1.8042	6.4077	1	1.0610
11	164	1.1828	1.8042	6.4077	1	1.0796
12	165	1.1953	1.8042	6.4077	1	1.2203
13	166	1.1938	1.8042	6.4077	1	1.0278
14	167	1.1942	1.8042	6.4077	1	1.8697
15	168	1.2013	1.8042	6.4077	1	1.0445
16	169	1.2031	1.8042	6.4077	1	5.3293
17	170	1.2380	1.8042	6.4077	1	5.7582
18	171	1.2517	1.8042	6.4077	1	1.5893
19	172	1.2121	1.8042	6.4077	1	1.8125
20	173	1.2102	1.8042	6.4077	1	7.2724
21	174	1.2527	1.8042	6.4077	1	1.0943
22	175	1.2004	1.8042	6.4077	1	1.0018
23	176	1.1980	1.8042	6.4077	1	1.0459
24	177	1.1888	1.8042	6.4077	1	2.5853
25	178	1.2149	1.8042	6.4077	1	1.0865
26	179	1.2118	1.8042	6.4077	1	1.4225
27	180	1.1836	1.8042	6.4077	1	1.0955
28	181	1.1785	1.8042	6.4077	1	2.4622
29	182	1.1978	1.8042	6.4077	1	1.1019
